"VisitID","D16","D50","D84","D16_cm.org","D50_cm.org","D84_cm.org"
483,14.787130322894,66.5677859758055,156.900546075744,16,67,161
533,27.30955485606,60.9987274460577,113.912783879597,28,61,115
534,24.6104576494251,67.1941964533501,100.03057091385,25,67,102
535,0.000617057004850843,0.00766204347870053,4.39116579349412,0.02,0.03,5
536,32.2346342559621,76.3753371709729,210.738388134533,33,77,214
537,17.2266249542475,53.4356119141701,101.893229817598,18,54,104
538,23.7452934703055,51.2498745638165,90.9102827057777,24,52,93
540,0.00522119027343522,8.82965697065506,19.8673385600114,0.02,9,20
541,0.105150622873073,18.5415921980329,39.1605296469798,0.14,19,40
542,0.0559919429758894,5.45315695149443,22.7657222738036,0.06,6,23
543,14.6959855923676,30.5508065989625,54.7960710472267,15,31,55
544,14.608876271272,45.8419869018667,115.477242397032,15,47,117
545,5.43708605849921,20.0829885024651,45.2649423355684,6,20,46
546,7.2166656879445,44.5758533096083,208.698264899326,8,45,221
547,0.301075539479539,16.1892074178127,36.8146038711056,0.42,16,38
548,13.4228273879196,42.734516655864,95.8510093552509,14,43,98
549,17.0804235274564,35.3030367510504,58.2966497527951,17,36,59
551,0.178622329501678,15.0195833262632,33.6540614635941,0.21,15,34
552,0.133732763999821,26.0117229301965,69.1867354763066,0.22,26,70
553,0.00443539746639961,6.20409784552,29.5618970195405,0.02,6,30
554,13.6820536809713,53.9363425399321,119.293416742123,14,54,121
555,10.5782538058464,47.0255026426549,116.263448980518,11,48,118
556,38.0235097781662,87.4790312175069,174.390908873995,39,88,177
557,15.4118215135427,39.8163880167333,84.5276904510611,16,40,86
559,0.000585891242700525,0.00616831398557445,0.171796722408177,0.02,0.02,0.26
561,0.0559919429758894,7.52183148465479,48.2843073599895,0.06,8,51
562,0.00889352504625208,4.99107713254715,83.382805150181,0.03,5,85
563,0.543737541039155,9.23815356474232,27.5026138035137,0.61,9,28
564,19.8560529267463,45.8649606392945,98.1690261955259,20,46,99
565,11.4828473494823,43.4405884651184,132.786879713592,12,44,136
566,19.7897964975876,47.7891063581032,108.820802118844,20,48,111
567,0.636928402275212,40.4522769071078,83.6280782989956,0.69,41,85
568,16.5548875908991,45.370116723075,94.5884079101437,17,46,97
569,5.31021228127699,33.0560663970624,61.8438692811327,6,33,62
570,40.6250354668284,100.301960144003,240.27347111681,41,101,245
571,3.63637251811024,24.1858000798211,49.2317858533015,4,24,50
572,25.2605763361067,56.0346165152847,134.311412314257,26,56,137
573,6.48698793790762,37.1129087432424,106.178170367945,7,38,109
574,1.58786928937761,22.2176806723635,61.3858998766817,2,23,62
575,10.9164039482505,90,221.756474456682,12,91,225
576,50.7760017334745,98.2843510575264,253.927622832708,51,99,258
577,11.7270706342986,42.7005689977912,97.545334052207,12,43,99
578,5.78987783336954,32.7613046021201,77.4972054761337,6,33,78
