ProgramSiteID,VisitID,VisitID,SiteName,WatershedID,WatershedName,SampleDate,HitchName,CrewName,VisitYear,IterationID,CategoryName,PanelName,VisitDate,ProtocolID,ProgramID,AEM,Bug Validation,CHaMP 10% Revisit,CHaMP Core,CHaMP-PiBO Comparison,Effectiveness,Has Fish Data,IMW,Remove,Velocity Validation,Primary Visit,QC Visit,Error,No,Yes,Grad,Sin,Sin_CL,Area_Wet,Area_Bf,WetVol,BfVol,WetWdth_Int,DetrendElev_SD,DpthWet_SD,BfWdthInt,Lgth_Wet,Lgth_Bf,DpthBf_Avg,DpthBf_Max,Lgth_Thlwg,DpthThlwg_UF_Avg,DpthThlwg_UF_CV,BfWdth_Avg,BfWdth_CV,BfWMxDRat_Avg,BfWMxDRat_CV,BfWDRat_Avg,BfWDRat_CV,WetWdth_Avg,WetWdth_CV,WetWDRat_Avg,WetWDRat_CV,WetWMxDRat_Avg,WetWMxDRat_CV,SlowWater_Area,SlowWater_Ct,SlowWater_Freq,PoolResidDpth,SlowWater_Vol,SlowWater_Pct,FstTurb_Area,FstTurb_Ct,FstTurb_Freq,FstTurb_Vol,FstTurb_Pct,FstNT_Area,FstNT_Ct,FstNT_Freq,FstNT_Vol,FstNT_Pct,Q,SubEmbed_Avg,SubEmbed_SD,SubD16,SubD50,SubD84,SubLT2,SubLT6,Cond,Alk,RipCovBigTree,RipCovConif,RipCovGrnd,RipCovNonWood,RipCovUstory,RipCovWood,RipCovCanNone,SubEstBldr,SubEstCbl,SubEstGrvl,SubEstSandFines,FishCovLW,FishCovTVeg,FishCovArt,FishCovNone,FishCovAqVeg,FishCovTotal,SolarSummr_Avg,UcutLgth_Pct,UcutArea_Pct,Ucut_Area,LWFreq_Wet,LWFreq_Bf,LWVol_Wet,LWVol_Bf,LWVol_WetSlow,LWVol_BfSlow,LWVol_WetFstTurb,LWVol_BfFstTurb,LWVol_WetFstNT,LWVol_BfFstNT,DriftBioMass,BfBraid,BfChnl_Ct,Bf_Island_Ct,BfMChnl_Part_Ct,Bf_QIsland_Ct,Lgth_BfChnl,BfSCWdth,BfSCWdth_CV,BfSCWDRat_Avg,BfSCWDRat_CV,BfSCWMxDRat_Avg,BfSCWMxDRat_CV,Bf_QIsland_Area,WetBraid,WetChnl_Ct,Wet_Island_Ct,Lgth_WetMChnl,WetMChnl_Area,WetChnl_Sin,Lgth_WetChnl,WetSCL_Area,WetSCS_Area,WetSC_Pct,WetSCWdth,WetSCWdth_CV,WetSCWDRat_Avg,WetSCWDRat_CV,WetSCWMxDRat_Avg,WetSCWMxDRat_CV,WetMChnl_Part_Ct,Wet_QIsland_Ct,Wet_QIsland_Area,SiteGeoDatabase_FileName,OrthogonalGeoDatabase_FileName,RBTOutputs_FileName,ResultsXML_FileName,LogFile_FileName,HydraModelInputs_FileName,HydraModelResults_FileName,BathymetryImg_FileName,BndryCndtnsImg_FileName,WettedDepthImg_FileName,WettedElevImg_FileName,DepthImg_FileName,VelocityImg_FileName,GCDADCNtThckDffT0,GCDADCNtThckDffErrT0,GCDADCNtThckDffT1,GCDAOINtThckDffT0,GCDADCNtThckDffErrT1,GCDAOINtThckDffErrT0,GCDAOINtThckDffT1,GCDAOINtThckDffErrT1,GCDADCTtThckDffT0,GCDADCTtThckDffErrT0,GCDADCTtThckDffT1,GCDADCTtThckDffErrT1,GCDAOITtThckDffT0,GCDAOITtThckDffErrT0,GCDAOITtThckDffT1,GCDAOITtThckDffErrT1,GCDAOIAreaDtctChngT0,GCDAOIAreaDtctChngT1,GCDImbalPctT0,GCDImbalPctT1,GCDChnlVolDiffT0,GCDChnlVolDiffT1,BraidChannelRatio,PoolToTurbulentAreaRatio,ChannelPattern,BankErosion,ConstrainingFeatureHeightAverage,FloodProneWidthAverage,ValleyWidth,ConstrainingFeatureType,PercentConstrained,CountOfPoolFormingLWD,CountOfKeyLWD,CountOfJamLWD,CountOfRightBankLWDPieces,CountOfLeftBankLWDPieces,CountOfMidChannelLWDPieces,CountOfLWD,CountOfChinook,CountOfCoho,CountOfSockeye,CountOfChum,CountOfOmykiss,CountOfPink,CountOfCutthroat,CountOfBulltrout,CountOfBrooktrout,CountOfLamprey,CountOfOtherSpecies,DensityOfChinook,DensityOfCoho,DensityOfSockeye,DensityOfChum,DensityOfOmykiss,DensityOfPink,DensityOfCutthroat,DensityOfBulltrout,DensityOfBrooktrout,DensityOfLamprey,DensityOfOtherSpecies
132,862,862,CBW05583-002731,23,Wenatchee,7/23/2012,Hitch_2_Wen_MN_July9to13,Reuben Crew,2012,2,Transport-Private,Rotating Panel 2,7/23/2012,806,1,,,,Yes,,,,,,,Yes,,,Yes,,0.908,1.57123,1.49652,1666.17028,1958.47841,430.41082,746.59477,8.38055,0.55206,0.19519,9.94504,198.81402,196.93009,0.40748,1.47333,207.40382,0.46273,0.44502,9.76122,0.17739,14.53078,0.37361,22.48342,0.34538,8.28264,0.18189,29.47519,0.45341,18.39541,0.49917,260.39,2,1.00597,0.46,115.74757,15.62805,982.46001,3,1.50895,228.39517,58.96516,303.04999,1,0.50298,86.25299,18.18842,1.35626,1.66333,4.38411,17,46,90,9.66666,15.66666,34.3,,9.5,21,60.5,21.3,50.2,106.7,82.7,0,39.13209,45.77019,15.09771,4.75576,7.6612,0,87.58303,0,12.41798,59.63113,,0.08994,1.5,17.60439,20.1193,8.8109,8.997,4.70887,4.76992,3.98412,4.10917,0.11791,0.11791,0.000049,,1,,1,,196.93009,,,,,,,,,1,,198.81402,1545.90002,1.5,198.81402,,,,,,,,,,1,,,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,3283,3283,CBW05583-002731,23,Wenatchee,7/8/2015,Wenatchee_Hitch_2015,van den Broek Crew,2015,5,Transport-Private,Rotating Panel 2,7/8/2015,2020,1,,,,Yes,,,,,,,Yes,,,,,0.857,1.56219,1.52076,1387.54864,1743.34993,294.76176,624.81629,6.8453,0.4831,0.19999,8.8247,202.70082,197.55352,0.36394,1.70428,208.00226,0.35294,0.67862,8.70285,0.14562,18.60266,0.29111,27.08842,0.24608,5.79898,0.16244,26.89917,0.64257,16.95953,0.63774,581.85,6,2.96003,0.55,204.09609,41.93367,543.63,3,1.48001,67.34371,39.17917,212.50999,1,0.49334,23.17219,15.3155,0.32774,1.96354,6.56128,11,52,111,19.77777,26.33333,56,39,2.5,9,46,19,34.5,71.5,90,0,27.50711,46.52979,25.96308,8.55682,10.76446,0.74484,66.72725,13.2066,33.28397,56.18223,6.95606,1.13292,15.9,15.29347,20.72019,12.33392,13.71578,6.29801,6.51761,6.03591,6.75483,0,0.44334,,1,1,0,1,0,197.55352,,,,,,,0,1,1,2,202.70082,1337.98999,1.52,202.70082,,,,,,,,,,1,0,0,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,,,,,,,,0.04012,0.06429,,0.00604,,0.00968,,,0.22201,0.08909,,,0.03342,0.01341,,,15.05188,,9.03543,,18.07086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1,1,CBW05583-003113,25,Methow,8/1/2011,2011- Terraqua - Local Crew,Local Crew,2011,1,Depositional-Private,Annual,8/1/2011,416,1,,,,Yes,,,,,,,Yes,,,,,1.737,1.24118,1.21304,1261.32765,1637.11054,346.69258,808.22648,6.21443,0.41529,0.16399,8.0435,202.96753,203.53199,0.45469,1.38,209.16753,0.45919,0.30999,8.38039,0.19591,12.01192,0.28683,19.37648,0.27223,6.184,0.20543,23.78316,0.40984,14.40316,0.40142,944.96997,7,3.44883,0.35857,270.7844,74.91868,272.86,4,1.97076,75.59726,21.63276,0,0,0,0,0,1.04832,,,2,28,170,8,13.04761,73.3,86,24.5,0,66.5,56.5,49.6,104.6,55,3.73997,35.11027,38.12828,23.02146,6.2703,24.76794,0,71.83814,,39.81879,28.48961,,,,12.80993,30.05406,6.85654,14.34231,6.2072,11.15915,0.64934,3.18316,0,0,0.000415,1,1,0,1,0,203.53199,,,,,,,0,1,1,0,202.96753,1217.82996,1.21,202.96753,,,,,,,,,,1,0,0,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1519,1519,CBW05583-003113,25,Methow,7/11/2013,Hitch #2 (KC): July 10 - July 17 (Methow),Kevin Crew,2013,3,Depositional-Private,Annual,7/11/2013,1966,1,,,Yes,Yes,,,,,,,Yes,,,Yes,,1.654,1.25591,1.22889,1255.40355,1531.57313,357.44836,600.26871,6.04415,0.49116,0.15999,7.45481,207.70549,205.44758,0.39367,1.12036,213.85271,0.47187,0.271,5.97953,0.09862,10.63603,0.21805,15.82964,0.20553,6.02896,0.22403,22.58246,0.36106,13.28608,0.40977,163.61,3,1.44435,0.41,59.42572,13.03246,769.41,5,2.40725,210.81655,61.28786,294.13,3,1.44435,86.97753,23.42912,0.86692,0,0,7,49,136,0,4.44444,66.2,44,17,0,43.1,33.4,29,62.6,76.1,8.333,38.29438,42.64336,10.72925,4.09029,5.47182,0.14786,90.06731,0.22271,9.95367,37.5886,13.74542,2.11305,27.1,12.03627,25.51689,5.19025,9.38684,0.58731,1.45753,4.39212,7.05389,0.21082,0.87542,,1,1,0,1,0,205.44758,,,,,,,0,1,1,1,207.70549,1227.1499,1.23,207.70549,,,,,,,,,,1,0,0,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,0.16929,0.0936,,0.05202,,0.02876,,,0.25159,0.10804,,,0.07731,0.0332,,,30.72753,,33.64394,,67.28787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1907,1907,CBW05583-003113,25,Methow,9/30/2013,Hitch #7 (JE): Sept 25 to Oct 2 (Methow),Joe Crew,2013,3,Depositional-Private,Annual,9/30/2013,1966,1,,,Yes,,,,,,,,,Yes,,Yes,,1.667,1.25277,1.22031,1258.44812,1531.41435,311.2626,550.23453,6.12803,0.54927,0.13704,7.54065,205.35921,203.08797,0.36988,1.34863,212.44132,0.40542,0.2812,6.92886,0.18987,11.52761,0.2832,17.39621,0.2685,5.36827,0.14361,21.11013,0.23305,12.2375,0.29091,485.24001,7,3.40866,0.28286,141.25702,38.5586,744.3,5,2.43476,169.93192,59.14427,0,0,0,0,0,0.64506,12.63392,15.59792,3,68,161,21.23809,22.57142,77.7,44,28.7,0.1,32.1,20.7,27.6,72.7,66.3,3.4728,38.04617,32.71768,25.76333,3.33486,0.55907,0,96.10606,0,3.92301,71.48997,14.75463,2.9161,37.8,14.12159,26.29538,4.02061,8.3066,1.1065,2.21893,2.91411,6.08767,0,0,,1,1,2,1,0,203.08797,,,,,,,0,1,1,0,205.35921,1229.53992,1.22,205.35921,,,,,,,,,,1,0,0,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,0.16106,0.08644,,0.05724,,0.03072,,,0.22831,0.09924,,,0.08113,0.03527,,,35.53769,,35.27336,,70.54672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2335,2335,CBW05583-003113,25,Methow,7/9/2014,Hitch1_KC_July9toJuly16_Methow,Kevin Crew,2014,4,Depositional-Private,Annual,7/9/2014,2020,1,,,,Yes,,,,,,,Yes,,,,,1.635,1.27533,1.22677,1164.64437,1557.85621,227.94986,644.9307,5.64598,0.53485,0.1215,7.64669,206.27845,203.72955,0.41223,1.39319,215.87681,0.33805,0.30586,7.88226,0.17974,12.1026,0.2885,19.26463,0.26299,5.17547,0.24745,22.61041,0.39639,12.72049,0.3912,363.05,8,3.87825,0.2775,91.46756,31.17261,450.21,6,2.90869,85.4413,38.65644,291.55,2,0.96956,51.02076,25.03339,0.30556,5.29787,10.00239,4,66,189,14.53043,17.66956,74,34,5,0,37.5,36,48.5,73.5,76.5,6.29501,33.82129,36.92191,22.96177,9.55476,8.33197,0,82.11325,0,17.92602,49.53105,16.73708,3.91074,47.4,8.72606,25.20864,2.94812,8.3444,0.54789,2.25052,1.83575,4.87772,0.56448,1.21615,0.001209,1,1,1,1,0,203.72955,,,,,,,0,1,1,3,206.27845,1104.81006,1.23,206.27845,,,,,,,,,,1,0,0,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,0.16009,0.07339,0.05771,0.07411,0.07735,0.03397,0.00351,0.00471,0.21857,0.08377,0.18023,0.10348,0.10118,0.03878,0.01097,0.0063,46.29386,6.08656,36.62348,16.01029,73.24697,32.02059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,3225,3225,CBW05583-003113,25,Methow,7/9/2015,Methow_Hitch_2015,van den Broek Crew,2015,5,Depositional-Private,Annual,7/9/2015,2020,1,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24407,9.7,13.45548,0.19,56,146,3.91666,20.25,93.3,60,8,0,57,48,18.5,37,90.5,,,,,,,,,,,,,,14.6,,,6.00187,15.75837,4.20896,12.26926,0.91498,2.61118,0.87791,0.87791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,3993,3993,CBW05583-003113,25,Methow,7/6/2016,Methow_ST_2016,van den Broek Crew,2016,6,Depositional-Private,Annual,7/6/2016,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.409,31.6,26.37422,0.03,3,44,20.42565,28.60279,92.9,48,1.11111,0,47.22222,44.44444,52.22222,62.22222,92.7,,,,,,,,,,,,,,2.7,,,12.9581,30.13702,2.88307,8.98987,9.71374,20.29419,0.36127,0.85295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1092,1092,CBW05583-011545,25,Methow,9/23/2012,Hitch_10_Methow_JE_Sept20-27,Joe Crew,2012,2,Depositional-Private,Rotating Panel 2,9/23/2012,806,1,,,,Yes,,,,,,,Yes,,,Yes,,0.603,1.2444,1.21027,16264.27385,19170.3727,5694.24063,13349.505,26.02946,0.97601,0.24155,30.31584,624.84106,632.35497,0.71277,1.73932,655.9529,0.6608,0.3426,31.78463,0.15253,27.20682,0.28438,41.45236,0.24972,26.31994,0.18696,62.09835,0.38484,37.56089,0.39185,1553.30002,3,0.48012,0.41333,658.93268,9.55038,8311.15994,5,0.8002,2481.86454,51.10071,5393.93005,3,0.48012,2553.28078,33.16428,1.16051,6.54666,12.8057,6,111,352,15.58762,20.83132,126.3,56,9.5,5.2,47.5,46,38.5,49.5,90.5,9.14509,34.70862,27.45175,23.39527,1.40486,0.13428,0.45016,98.01068,0,1.98943,57.68112,,0.01106,1.8,1.6004,3.20081,3.19173,25.51863,0,3.83401,2.06941,14.02812,1.12232,7.6565,0.000021,,1,,1,,632.35497,,,,,,,,,1,,624.84106,15258.39063,1.21,624.84106,,,,,,,,,,1,,,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,3226,3226,CBW05583-011545,25,Methow,9/9/2015,Methow_Hitch_2015,van den Broek Crew,2015,5,Depositional-Private,Rotating Panel 2,9/9/2015,2020,1,,,,Yes,,,,,,,Yes,,,,,0.617,1.2513,1.20254,14744.02016,19904.12563,4588.50375,19405.245,23.74023,2.04335,0.21839,32.69188,621.05623,608.8401,0.96135,2.26483,648.52412,0.6042,0.34915,32.71492,0.11806,25.30615,0.18836,36.92405,0.17718,23.62632,0.05637,53.33517,0.06871,37.11727,0.14913,4442.31992,5,0.80508,0.404,1977.43092,30.12964,6575.88,4,0.64406,1757.7668,44.60032,2643.42004,3,0.48305,853.39104,17.92876,1.18458,8.06756,15.47227,0.05,67,210,35.06818,49.61776,126,64,18,19.5,15.5,11,15,45,74.5,19.93164,21.64663,17.99361,21.20812,3.83258,2.07237,0.20728,91.77847,2.10928,8.22168,65.55134,0.40254,0.01424,2.1,1.93219,4.50844,5.36122,22.33584,1.4035,6.46649,2.09349,13.64277,1.86422,2.22657,,1,1,0,1,0,608.8401,,,,,,,0,1,1,1,621.05623,13661.61914,1.2,621.05623,,,,,,,,,,1,0,0,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,,,,,,,,0.28698,0.16895,,0.0175,,0.0103,,,0.34164,0.18543,,,0.02083,0.01131,,,6.09815,,42.00112,,84.00224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
