VisitID,FishCovLW,FishCovTVeg,FishCovUcut,FishCovArt,FishCovAqVeg,FishCovNone,FishCovTotal,FishCovLW_FNT,FishCovTVeg_FNT,FishCovUcut_FNT,FishCovArt_FNT,FishCovAqVeg_FNT,FishCovNone_FNT,FishCovTotal_FNT,FishCovLW_FT,FishCovTVeg_FT,FishCovUcut_FT,FishCovArt_FT,FishCovAqVeg_FT,FishCovNone_FT,FishCovTotal_FT,FishCovLW_SlowPool,FishCovTVeg_SlowPool,FishCovUcut_SlowPool,FishCovArt_SlowPool,FishCovAqVeg_SlowPool,FishCovNone_SlowPool,FishCovTotal_SlowPool,FishCovLW_SSC,FishCovTVeg_SSC,FishCovUcut_SSC,FishCovArt_SSC,FishCovAqVeg_SSC,FishCovNone_SSC,FishCovTotal_SSC,Valid,,FishCovLW,FishCovTVeg,FishCovUcut,FishCovArt,FishCovAqVeg,FishCovNone,FishCovTotal
1,6.270308572,24.76794766,8.780535841,0,0,71.83814671,39.81879207,0,0,0,0,0,0,0,0.359220918,3.63724831,1.782761185,0,0,17.94359684,5.779230413,5.911087654,21.13069935,6.997774657,0,0,53.89454987,34.03956166,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,0.479582891,0,6.281643932,0,0,93.23877318,6.761226823,0,0,0,0,0,0,0,0.479582891,0,4.359178034,0,0,82.34479975,4.838760925,0,0,1.922465898,0,0,10.89397342,1.922465898,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,0.049546722,9.948724946,4.317932425,0,0,86.96050637,14.31620409,0,0.174715212,1.747152118,0,0,15.72436906,1.92186733,0,9.587718175,2.194266379,0,0,63.12867803,11.78198455,0.049546722,0.186291559,0.376513928,0,0,8.107459277,0.612352209,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,5.419029045,21.49543263,5.293605664,0,0,80.66135685,32.20806734,0,0,0,0,0,0,0,5.12542338,20.9082213,4.706394336,0,0,75.96366622,30.74003902,0.293605664,0.587211329,0.587211329,0,0,4.69769063,1.468028322,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,0.755669493,30.47547054,6.381647275,0,0,66.20594229,37.61278731,0,4.739696312,1.283003572,0,0,20.13996801,6.022699884,0,1.968163194,1.007800346,0,0,17.18004338,2.97596354,0.755669493,23.76761103,4.090843358,0,0,28.88593089,28.61412389,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8,0.204592613,35.49481256,4.919905934,0,0,59.38068889,40.61931111,0,0,0,0,0,0,0,0,25.65931664,2.671683497,0,0,43.35803016,28.33100014,0.204592613,9.835495919,2.248222437,0,0,16.02265874,12.28831097,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,1.008109117,20.31600662,0.357885939,0,0,78.31799833,21.68200167,0.519214696,9.851599595,0,0,0,40.9069052,10.37081429,0.488894421,9.635356463,0.316433411,0,0,34.13634343,10.4406843,0,0.829050558,0.041452528,0,0,3.274749702,0.870503085,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,9.384395592,25.10496239,3.405621319,0.218729955,0,61.88629075,38.11370925,5.235757187,13.64948393,1.131407079,0.166686104,0,21.9094991,20.18333431,2.797976558,2.551169164,0.322759345,0.052043851,0,19.04717476,5.723948918,1.350661846,8.904309289,1.951454895,0,0,20.92961689,12.20642603,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,4.709128381,6.065799859,0.912199778,0,0,88.54348871,11.68712802,0,0,0,0,0,0,0,3.277112097,5.584106536,0.864465902,0,0,80.87106573,9.725684534,1.432016284,0.481693323,0.047733876,0,0,7.672422982,1.961443483,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
